"Limbang, SARAWAK","ILP Miri, SARAWAK","Miri, SARAWAK","Samalaju, SARAWAK","Bintulu, SARAWAK","Mukah, SARAWAK","Kapit, SARAWAK","Sibu, SARAWAK","Sarikei, SARAWAK","Sri Aman, SARAWAK","Samarahan, SARAWAK","Kuching, SARAWAK"
21,34,54,30,53,36,29,28,21,20,24,23
22,33,53,31,53,37,29,29,21,20,23,22
23,33,53,31,53,37,28,29,22,20,23,21
23,34,53,31,53,36,29,28,21,19,21,22
23,34,53,32,53,36,30,27,21,19,19,22
22,34,53,31,53,35,29,26,20,19,19,22
23,34,53,31,53,34,30,26,20,19,19,23
21,34,53,31,53,33,29,27,20,19,19,23
22,34,53,31,53,33,28,28,20,19,20,23
23,35,53,31,53,30,29,28,21,19,20,25
24,34,54,30,53,27,30,29,19,18,20,29
25,34,54,31,53,27,29,29,18,17,20,30
24,34,54,32,53,26,30,29,17,18,21,32
24,35,54,31,53,26,28,29,17,17,23,32
25,35,54,31,53,28,28,29,16,16,24,32
24,35,55,31,53,28,28,30,17,16,23,34
24,36,54,31,53,30,30,32,18,17,24,34
25,37,54,30,53,30,29,33,18,16,24,36
27,38,54,29,53,29,30,34,19,17,24,37
28,38,54,29,53,30,31,35,19,17,23,37
28,37,54,29,53,29,33,39,19,17,23,37
28,37,54,29,53,29,34,41,21,19,23,40
28,37,54,30,53,29,36,42,23,19,24,41
28,36,55,30,53,28,35,44,24,20,22,43
27,35,55,31,53,30,36,48,25,21,21,45
26,37,55,31,54,29,37,52,26,22,22,47
26,38,55,30,54,29,38,52,25,23,21,47
26,38,55,31,54,30,38,52,26,23,21,48
27,38,55,31,54,30,37,53,26,22,21,48
26,38,55,31,54,32,38,53,26,23,21,48
27,40,55,32,54,34,38,54,26,24,20,49
28,39,55,33,54,34,39,53,26,24,19,49
27,39,55,34,54,34,41,53,26,24,18,50
27,39,55,35,54,35,41,53,26,24,18,50
26,40,55,36,54,36,41,54,27,24,19,49
25,40,54,36,54,36,40,54,29,25,19,49
25,40,54,35,54,35,40,54,30,25,20,49
26,39,54,36,54,37,41,54,29,24,20,49
25,40,54,39,54,37,39,54,29,24,21,49
24,40,53,40,54,37,38,54,30,24,21,50
24,38,53,40,54,35,38,54,30,25,19,49
23,38,53,42,54,35,40,54,30,25,20,49
23,38,53,42,54,36,39,54,29,26,19,48
23,39,53,43,54,35,38,54,30,27,20,49
23,40,53,45,54,35,39,54,30,28,20,49
23,40,53,46,54,36,39,54,30,27,20,47
22,40,53,47,54,36,41,54,29,28,19,47
23,41,53,48,54,37,42,54,28,27,19,47
23,41,54,48,54,37,42,53,28,26,19,46
23,39,54,48,54,37,41,52,29,26,20,44
22,39,53,49,54,37,41,52,29,24,25,43
22,39,54,49,54,37,42,52,30,24,28,42
21,39,54,49,54,37,43,51,30,23,30,42
21,40,54,48,54,37,43,51,31,24,30,43
20,40,54,48,54,37,44,52,32,23,30,43
20,40,54,50,54,39,44,53,32,22,32,43
20,40,54,50,54,40,43,53,32,22,32,42
20,39,54,50,54,41,41,54,32,22,32,42
20,38,53,50,54,42,42,54,31,22,32,40
20,38,53,49,54,43,43,55,31,22,32,39
21,38,53,48,54,43,43,55,30,21,31,38
21,37,53,47,54,42,44,55,30,22,30,37
21,37,52,46,54,41,45,55,29,22,29,38
21,37,52,46,54,40,46,55,29,22,30,38
21,36,53,46,54,41,47,55,30,22,31,39
21,34,53,45,54,44,46,55,30,22,31,38
22,36,52,45,54,44,46,55,29,21,31,38
22,34,52,44,54,43,47,55,28,21,31,36
22,34,52,42,54,43,46,54,28,20,31,35
23,35,52,41,54,42,44,53,26,19,30,34
22,36,52,41,54,41,42,53,26,20,31,34
21,36,51,40,54,41,41,53,27,21,30,32
21,36,46,40,54,40,40,52,26,21,31,34
21,37,44,39,55,40,40,52,25,23,29,34
21,37,43,37,55,41,39,52,25,24,25,35
21,37,43,36,55,44,38,52,25,25,22,35
20,38,42,37,55,48,36,52,24,27,21,36
20,38,41,36,55,51,35,52,23,27,21,36
19,37,41,35,55,52,34,49,23,28,21,36
20,38,40,33,55,52,33,44,22,28,20,35
20,38,41,31,55,52,33,43,23,29,20,37
20,38,40,30,55,53,32,37,22,28,21,38
20,37,38,30,55,54,33,35,22,28,24,40
20,38,39,29,55,54,33,33,22,27,26,41
20,38,40,28,55,54,31,32,22,27,26,43
20,37,40,27,55,54,30,30,22,27,26,42
19,37,40,26,55,54,29,29,23,27,25,40
20,38,39,25,55,54,28,28,22,27,24,40
21,38,39,24,55,54,26,27,22,27,24,40
21,38,38,22,55,53,26,28,22,27,24,40
20,37,38,20,55,53,26,28,23,29,25,42
20,38,39,20,55,54,30,29,23,28,24,42
20,38,39,20,55,53,30,28,24,26,26,44
21,38,39,20,55,54,32,29,24,26,28,44
22,38,40,19,55,54,31,29,24,25,28,45
24,39,41,18,55,54,31,31,23,25,29,46
25,39,42,18,55,54,32,31,24,24,28,45
28,39,43,19,55,54,32,33,24,22,30,45
29,41,44,20,55,54,32,34,24,21,30,44
30,40,44,24,55,53,33,34,24,22,30,43
32,40,44,27,55,52,34,33,25,21,29,42
33,40,45,29,55,51,34,34,25,22,30,42
34,40,45,30,55,46,35,35,26,23,30,42
34,38,45,31,55,44,37,35,28,23,30,42
35,39,43,31,55,44,37,35,31,22,31,42
36,40,45,32,55,43,39,36,33,22,30,41
36,42,47,32,55,38,38,36,34,22,28,38
36,43,47,33,55,38,36,37,33,23,25,38
37,44,49,33,55,40,38,37,34,23,25,37
38,44,51,34,55,42,38,37,35,23,27,39
38,45,51,35,55,43,38,38,36,24,27,39
38,45,51,36,55,43,39,37,37,24,28,39
39,46,52,38,55,42,39,37,36,23,29,40
39,47,52,39,55,43,40,36,37,24,28,40
40,48,52,40,55,42,41,37,37,22,30,40
